"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testDeletedClass","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.filter.FilterForTestsTest","Surefire test","school.redrover.common.filter.FilterForTestsTest","testDeletedClass"
"","0","testUpdateViewDescription","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.GeneralViewTest","Surefire test","school.redrover.GeneralViewTest","testUpdateViewDescription"
"","1046","testBringTheNodeBackOnline","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.NodeTest","Surefire test","school.redrover.NodeTest","testBringTheNodeBackOnline"
"Verify that we can add metric and choose the filter","1935","testHealthMetrics","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testHealthMetrics"
"","2574","testAddGitInstallation","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.ToolsTest","Surefire test","school.redrover.ToolsTest","testAddGitInstallation"
"","317","testCredentialsOpens","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testCredentialsOpens"
"","746","testRenameViaContextMenu","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testRenameViaContextMenu"
"","2962","testAddJDK","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.ToolsTest","Surefire test","school.redrover.ToolsTest","testAddJDK"
"","927","testCreate","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testCreate"
"","0","testDeleteUserViaDropDownMenu","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.UserTest","Surefire test","school.redrover.UserTest","testDeleteUserViaDropDownMenu"
"","0","testDeleteViaSidebar","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.MultiConfigurationTest","Surefire test","school.redrover.MultiConfigurationTest","testDeleteViaSidebar"
"","627","testsPageItemsDefault","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testsPageItemsDefault"
"","750","testInvalidCharactersInName","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testInvalidCharactersInName"
"","2052","checkJenkinsIsRunningTest","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.APITest","Surefire test","school.redrover.APITest","checkJenkinsIsRunningTest"
"","4843","testAddBuildStep","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testAddBuildStep"
"","656","testRename","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testRename"
"","1213","testCreate","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testCreate"
"","1392","testAddDescription","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testAddDescription"
"","1276","testCaseInsensitivity","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.GlobalSearchTest","Surefire test","school.redrover.GlobalSearchTest","testCaseInsensitivity"
"","0","testPreviewAddDescription","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.FolderViewTest","Surefire test","school.redrover.FolderViewTest","testPreviewAddDescription"
"","836","testBreadcrumbDisplaysAllNestedFolders","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.BreadcrumbTest","Surefire test","school.redrover.BreadcrumbTest","testBreadcrumbDisplaysAllNestedFolders"
"","864","testDeleteViaSidebar","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testDeleteViaSidebar"
"","626","testDeleteNode","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.NodeTest","Surefire test","school.redrover.NodeTest","testDeleteNode"
"","1741","testDeleteJDK","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.ToolsTest","Surefire test","school.redrover.ToolsTest","testDeleteJDK"
"","546","testChangesAfterBuilding","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testChangesAfterBuilding"
"","1470","testNavigateToSystemConfigurationPagesByEnter","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testNavigateToSystemConfigurationPagesByEnter"
"","791","testNavigateToGetInvolvedPage","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.FooterVersionJenkinsTest","Surefire test","school.redrover.FooterVersionJenkinsTest","testNavigateToGetInvolvedPage"
"","0","testRenameUser","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.UserTest","Surefire test","school.redrover.UserTest","testRenameUser"
"","2324","Runs Cucumber Scenarios","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.CucumberTest","Surefire test","school.redrover.common.CucumberTest","runScenario"
"","1187","testInvalidCharactersInName","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testInvalidCharactersInName"
"","0","testOpenEditViewSettings","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.FolderViewTest","Surefire test","school.redrover.FolderViewTest","testOpenEditViewSettings"
"","0","testClassWithDependencyChain","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.filter.FilterForTestsTest","Surefire test","school.redrover.common.filter.FilterForTestsTest","testClassWithDependencyChain"
"","12967","Runs Cucumber Scenarios","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.CucumberTest","Surefire test","school.redrover.common.CucumberTest","runScenario"
"","948","testAddViewDescription","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.GeneralViewTest","Surefire test","school.redrover.GeneralViewTest","testAddViewDescription"
"","1","orderMethodsForkUpDepTest","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.order.OrderForTestsTest","Surefire test","school.redrover.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","0","testSuccessMessageInConsole","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.BuildHistoryTest","Surefire test","school.redrover.BuildHistoryTest","testSuccessMessageInConsole"
"","2395","Runs Cucumber Scenarios","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.CucumberTest","Surefire test","school.redrover.common.CucumberTest","runScenario"
"","3955","Runs Cucumber Scenarios","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.CucumberTest","Surefire test","school.redrover.common.CucumberTest","runScenario"
"","2325","Runs Cucumber Scenarios","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.CucumberTest","Surefire test","school.redrover.common.CucumberTest","runScenario"
"","917","testDeleteViewDescription","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.GeneralViewTest","Surefire test","school.redrover.GeneralViewTest","testDeleteViewDescription"
"","0","testCreateUserWithEmptyFields","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.UserTest","Surefire test","school.redrover.UserTest","testCreateUserWithEmptyFields"
"","1431","testNodeConfiguration","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.NodeTest","Surefire test","school.redrover.NodeTest","testNodeConfiguration"
"","745","testRename","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testRename"
"","1173","testSearchInvalid","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testSearchInvalid"
"","611","testSearchCaseInsensitive","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testSearchCaseInsensitive"
"","1","testEditReasonForShutdown","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testEditReasonForShutdown"
"Verify that we can add description to the existing folder","871","testAddDescription","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testAddDescription"
"","0","testCreateMyView","Surefire suite","2026-07-21","unknown","2026-07-21","school.redrover.FolderViewTest","Surefire test","school.redrover.FolderViewTest","testCreateMyView"
"","0","orderMethodsForkDownDepTest","Surefire suite","2026-07-21","passed","2026-07-21","school.redrover.common.order.OrderForTestsTest","Surefire test","school.redrover.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
